simulation_date,intial_date,final_date, initial_index, final_index, index_return, initial_porfolio, final_porfolio, portfolio_return,long_trades,good_long_trades,long_trades_profit,long_stop_loss,short_trades,good_short_trades,short_trades_profit,m_short_stop_loss, small_ma, medium_ma, large_ma, min_slope, sm_mode_up, small_ma, medium_ma, large_ma, min_slope, sm_mode_dn, slope_points, stop_loss
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2576.26,157.63%,379,282,1925.2,6,44,15,-348.94,0,26,12,27,0.0636,7,29,36,58,0.0474,5,96,0.0854
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2549.53,154.95%,1450,1013,1549.53,3,0,0,0,0,7,19,3,0.0084,4,29,50,3,0.0296,0,409,0.0831
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2520.21,152.02%,135,79,1520.21,4,0,0,0,0,20,28,25,0.0597,1,11,43,25,0.0369,0,408,0.0562
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2506.19,150.62%,285,194,1717.72,7,53,14,-211.53,0,23,6,5,0.012,5,17,30,60,0.0368,4,138,0.0733
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2473.62,147.36%,155,92,1473.62,1,0,0,0,0,20,7,37,0.0875,5,26,18,35,0.0315,0,255,0.0822
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2471.85,147.18%,361,206,1855.12,2,74,18,-383.27,0,15,13,19,0.0335,5,14,44,60,0.028,4,433,0.0645
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2446.41,144.64%,332,238,1517.37,8,239,71,-70.95,0,29,17,32,0.0517,7,2,15,21,0.0417,6,92,0.0742
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2423.11,142.31%,726,574,1605.03,12,77,30,-181.91,4,23,8,2,0.0046,4,16,34,41,0.0242,3,255,0.0475
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2410.9,141.09%,292,193,1420.73,4,170,59,-9.83,0,20,17,9,0.0143,5,4,20,34,0.0119,6,102,0.0948
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2329.14,132.91%,326,228,1342.08,2,115,47,-12.94,0,27,18,12,0.0817,7,10,32,3,0.0321,1,304,0.0972
