time,mid_c,SMA_14,SMA_21,SMA_40,Slope_540
2017-10-19 09:00:00,2551.8,2558.4000000000005,2557.714285714286,2554.995,0.21083766100401952
2017-10-19 13:00:00,2556.2,2558.342857142857,2557.6952380952384,2555.1400000000003,0.21169950666649914
2017-10-19 17:00:00,2562.4,2558.7285714285717,2558.0476190476193,2555.435,0.21271648165231485
2017-10-19 21:00:00,2562.0,2559.1857142857143,2558.3333333333335,2555.79,0.21374033061384534
2017-10-20 01:00:00,2568.8,2559.9285714285716,2559.0380952380956,2556.295,0.21487782117832294
2017-10-20 05:00:00,2566.0,2560.4285714285716,2559.4571428571426,2556.6549999999997,0.21588997980864894
2017-10-20 09:00:00,2568.2,2561.0714285714284,2559.9523809523807,2557.0099999999998,0.21684651410555816
2017-10-20 13:00:00,2571.2,2561.9285714285716,2560.5904761904762,2557.4800000000005,0.21801072324969872
2017-10-20 17:00:00,2575.2,2562.842857142857,2561.4571428571426,2558.04,0.2192715643362593
2017-10-20 21:00:00,2575.1,2563.807142857143,2562.3190476190475,2558.6524999999997,0.2205240034735677
2017-10-22 21:00:00,2577.2,2564.878571428571,2563.347619047619,2559.3375,0.2218503530914411
2017-10-23 01:00:00,2574.8,2565.8357142857144,2564.1285714285714,2559.8824999999997,0.22313344695969464
2017-10-23 05:00:00,2575.2,2566.85,2564.9,2560.4975000000004,0.22460419579247148
2017-10-23 09:00:00,2577.8,2568.707142857143,2565.785714285714,2561.1974999999998,0.22611467955803846
2017-10-23 13:00:00,2573.6,2570.2642857142855,2566.471428571428,2561.7375,0.2275621315573785
2017-10-23 17:00:00,2564.2,2570.835714285714,2566.557142857143,2562.0775,0.22881545851970994
2017-10-23 21:00:00,2566.4,2571.121428571428,2566.785714285714,2562.3375,0.2300765434723713
2017-10-24 01:00:00,2566.4,2571.4357142857143,2566.985714285714,2562.5975,0.2312628224986293
2017-10-24 05:00:00,2566.4,2571.264285714286,2567.2238095238095,2562.9024999999997,0.23236580600985146
2017-10-24 09:00:00,2569.6,2571.5214285714287,2567.633333333333,2563.2174999999997,0.233426204403231
2017-10-24 13:00:00,2569.4,2571.6071428571427,2568.4714285714285,2563.5375,0.23442305281491982
2017-10-24 17:00:00,2566.2,2571.25,2569.157142857143,2563.8175,0.2353399207663798
2017-10-24 21:00:00,2564.2,2570.464285714286,2569.5380952380956,2564.0225,0.2361563311259641
2017-10-25 01:00:00,2565.0,2569.742857142857,2569.6619047619047,2564.2975,0.23707406022959215
2017-10-25 05:00:00,2565.2,2568.8857142857146,2569.8142857142857,2564.4975,0.23786668602353836
2017-10-25 09:00:00,2565.4,2568.214285714286,2569.652380952381,2564.6875,0.23868629712569503
2017-10-25 13:00:00,2549.8,2566.4,2568.8809523809523,2564.4875,0.23913428677357906
2017-10-25 17:00:00,2560.8,2565.1857142857143,2568.5285714285715,2564.5825,0.23984458489607677
2017-10-25 21:00:00,2560.2,2564.2285714285713,2568.004761904762,2564.6625,0.24046696166844028
2017-10-26 01:00:00,2559.6,2563.9000000000005,2567.2619047619046,2564.7625,0.241116659064903
2017-10-26 05:00:00,2558.2,2563.3142857142857,2566.4571428571426,2564.7575,0.24185168673417948
2017-10-26 09:00:00,2561.8,2562.9857142857145,2565.7238095238095,2564.8275000000003,0.24253205029281066
2017-10-26 13:00:00,2560.8,2562.585714285714,2565.057142857143,2564.8675000000003,0.24321922686063172
2017-10-26 17:00:00,2563.2,2562.128571428572,2564.485714285714,2564.9674999999997,0.24396676790920255
2017-10-26 21:00:00,2560.8,2561.5142857142855,2563.6761904761906,2564.9275000000002,0.24467186101461258
2017-10-27 01:00:00,2564.6,2561.4,2563.247619047619,2565.0024999999996,0.2454208576389722
2017-10-27 05:00:00,2568.4,2561.7,2563.447619047619,2565.1575000000003,0.2462917111055479
2017-10-27 09:00:00,2568.4,2561.9428571428575,2563.542857142857,2565.3325,0.24704961646340043
2017-10-27 13:00:00,2579.0,2562.9285714285716,2564.1428571428573,2565.7825000000003,0.24802321376654607
2017-10-27 17:00:00,2578.6,2563.871428571428,2564.72380952381,2566.4525000000003,0.2490022980569587
2017-10-29 21:00:00,2577.2,2565.8285714285716,2565.0857142857144,2567.0875,0.24999119033711062
2017-10-30 01:00:00,2574.4,2566.7999999999997,2565.32380952381,2567.5425,0.2510067783344783
2017-10-30 05:00:00,2575.2,2567.871428571429,2565.752380952381,2567.8625,0.25205759736258815
2017-10-30 09:00:00,2574.2,2568.914285714286,2566.2285714285717,2568.1675000000005,0.2530531273731697
2017-10-30 13:00:00,2570.8,2569.8142857142857,2566.504761904762,2568.2174999999997,0.2538698501861957
2017-10-30 17:00:00,2569.4,2570.3571428571427,2566.704761904762,2568.3025000000002,0.25464768397696824
2017-10-30 21:00:00,2570.0,2571.0142857142855,2566.9238095238097,2568.3475000000003,0.25543605735578284
2017-10-31 01:00:00,2571.6,2571.6142857142863,2567.9619047619044,2568.3574999999996,0.2561895273989279
2017-10-31 05:00:00,2573.8,2572.542857142857,2568.5809523809526,2568.3224999999998,0.2569984160134675
2017-10-31 09:00:00,2574.4,2573.2428571428572,2569.2571428571428,2568.3050000000003,0.2577349449834266
2017-10-31 13:00:00,2574.8,2573.7000000000003,2569.980952380952,2568.245,0.258200912135425
2017-10-31 17:00:00,2574.2,2574.1142857142854,2570.7428571428572,2568.2300000000005,0.2586757270543909
2017-10-31 21:00:00,2576.6,2573.942857142857,2571.447619047619,2568.265,0.2591634516350651
2017-11-01 01:00:00,2578.0,2573.9,2572.2666666666664,2568.27,0.259655642013709
2017-11-01 05:00:00,2582.2,2574.2571428571428,2573.1714285714284,2568.4849999999997,0.2604075497896465
2017-11-01 09:00:00,2583.4,2574.9000000000005,2574.247619047619,2568.965,0.2614156465252321
2017-11-01 13:00:00,2578.4,2575.128571428571,2574.904761904762,2569.265,0.26238024364509716
2017-11-01 17:00:00,2574.2,2575.128571428572,2575.180952380952,2569.46,0.26326481457983963
2017-11-01 21:00:00,2569.4,2575.028571428571,2575.2285714285717,2569.5350000000003,0.2640574175113388
2017-11-02 01:00:00,2571.2,2575.1571428571433,2574.8571428571427,2569.575,0.26483631059548685
2017-11-02 05:00:00,2572.4,2575.328571428571,2574.5619047619048,2569.65,0.2655888813823855
2017-11-02 09:00:00,2577.2,2575.7285714285713,2574.5619047619048,2569.925,0.26589407980746776
2017-11-02 13:00:00,2575.6,2575.8571428571427,2574.6190476190477,2570.21,0.26631487838511864
2017-11-02 17:00:00,2579.4,2576.214285714286,2574.819047619048,2570.57,0.26676912472265
2017-11-02 21:00:00,2579.8,2576.5714285714284,2575.085714285714,2570.935,0.2672319292361542
2017-11-03 01:00:00,2579.2,2576.9285714285716,2575.4857142857145,2571.28,0.267678646207825
2017-11-03 05:00:00,2579.6,2577.1428571428573,2575.9714285714285,2572.025,0.2681669956953823
2017-11-03 09:00:00,2579.8,2577.2714285714287,2576.4380952380952,2572.5,0.2686352871961535
2017-11-03 13:00:00,2583.2,2577.3428571428567,2576.9904761904763,2573.075,0.26914918165776364
2017-11-03 17:00:00,2583.2,2577.328571428571,2577.4380952380952,2573.665,0.2697168790778507
2017-11-05 22:00:00,2582.2,2577.6,2577.809523809524,2574.2650000000003,0.27028510233421776
2017-11-06 02:00:00,2579.6,2577.985714285714,2578.0380952380956,2574.71,0.2708459257785902
2017-11-06 06:00:00,2583.2,2578.9714285714285,2578.4666666666662,2575.2699999999995,0.2715064828373516
2017-11-06 10:00:00,2584.0,2579.8857142857146,2578.8190476190475,2575.79,0.2720689523779039
2017-11-06 14:00:00,2589.2,2581.085714285714,2579.352380952381,2576.5,0.27268922580514865
2017-11-06 18:00:00,2590.0,2582.0,2579.7238095238095,2577.135,0.2733176306426901
2017-11-06 22:00:00,2591.4,2583.128571428572,2580.1047619047617,2577.71,0.27396232116327174
2017-11-07 02:00:00,2593.4,2584.128571428572,2580.8190476190475,2578.335,0.2747179707596925
2017-11-07 06:00:00,2591.0,2584.9285714285716,2581.6190476190477,2578.6349999999998,0.275403661268462
2017-11-07 10:00:00,2590.6,2585.7428571428572,2582.6285714285714,2578.935,0.276007024105783
2017-11-07 14:00:00,2585.4,2586.1571428571433,2583.304761904762,2579.14,0.276482875455677
2017-11-07 18:00:00,2587.0,2586.671428571429,2584.0,2579.455,0.2769918544911944
2017-11-07 22:00:00,2584.6,2586.7714285714287,2584.352380952381,2579.69,0.27743524116642687
2017-11-08 02:00:00,2585.0,2586.9,2584.7999999999997,2579.96,0.27794492131698356
2017-11-08 06:00:00,2587.2,2587.2571428571428,2585.1714285714284,2580.37,0.2785003720863241
2017-11-08 10:00:00,2586.4,2587.7428571428572,2585.485714285714,2580.795,0.27901099721802125
2017-11-08 14:00:00,2590.6,2588.2714285714283,2586.0285714285715,2581.31,0.27958773292546724
2017-11-08 18:00:00,2592.0,2588.8428571428567,2586.6190476190477,2581.82,0.28016859911499464
2017-11-08 22:00:00,2594.2,2589.2000000000003,2587.304761904762,2582.33,0.2807492595424996
2017-11-09 02:00:00,2589.0,2589.128571428572,2587.580952380952,2582.6949999999997,0.28109910832646506
2017-11-09 06:00:00,2589.0,2588.9571428571426,2587.8571428571427,2583.05,0.2814032626998034
2017-11-09 10:00:00,2579.4,2587.9571428571426,2587.72380952381,2583.18,0.28128302909132064
2017-11-09 14:00:00,2571.2,2586.542857142857,2587.3238095238094,2583.045,0.281018594409141
2017-11-09 18:00:00,2584.2,2586.085714285714,2587.3714285714286,2583.2,0.2809842854970924
2017-11-09 22:00:00,2583.8,2585.9714285714285,2587.3619047619045,2583.2400000000002,0.2809203011289096
2017-11-10 02:00:00,2586.2,2585.9142857142856,2587.219047619048,2583.31,0.280987219511117
2017-11-10 06:00:00,2573.0,2585.085714285714,2586.409523809524,2583.175,0.28097613122434884
2017-11-10 10:00:00,2578.2,2584.5999999999995,2585.7809523809524,2583.275,0.28105643937965036
2017-11-10 14:00:00,2577.6,2583.914285714286,2585.0285714285715,2583.48,0.28117457726382983
2017-11-10 18:00:00,2579.6,2583.4285714285716,2584.485714285714,2583.6899999999996,0.281359481113904
2017-11-12 22:00:00,2584.2,2582.9714285714285,2584.1809523809525,2583.985,0.28159032324070615
2017-11-13 02:00:00,2581.4,2582.214285714286,2583.9904761904763,2584.0899999999997,0.2816734053729037
2017-11-13 06:00:00,2579.8,2581.1857142857148,2583.647619047619,2584.195,0.2818311943609012
2017-11-13 10:00:00,2572.0,2579.971428571429,2583.0476190476193,2584.0099999999998,0.28173902059563527
2017-11-13 14:00:00,2583.0,2579.5428571428574,2582.9523809523807,2584.09,0.28187400810321306
2017-11-13 18:00:00,2581.6,2579.7000000000003,2582.685714285714,2584.1499999999996,0.2819971833465363
2017-11-13 22:00:00,2582.6,2580.5142857142855,2582.5047619047623,2584.225,0.28207559391874143
2017-11-14 02:00:00,2578.8,2580.128571428572,2581.942857142857,2584.2,0.2820474883506306
2017-11-14 06:00:00,2580.6,2579.9,2581.3999999999996,2584.1349999999998,0.2819786342812484
2017-11-14 10:00:00,2575.6,2579.1428571428573,2580.514285714286,2583.945,0.28190627463666806
2017-11-14 14:00:00,2573.6,2579.1857142857143,2579.7809523809524,2583.73,0.28175263899319875
2017-11-14 18:00:00,2578.4,2579.2000000000003,2579.2761904761905,2583.7,0.2816821693108992
2017-11-14 22:00:00,2572.0,2578.7999999999997,2578.9238095238093,2583.42,0.28150568646211627
2017-11-15 02:00:00,2571.8,2578.2428571428572,2578.9523809523807,2583.1150000000002,0.28152431173556075
2017-11-15 06:00:00,2567.0,2577.014285714286,2578.133333333333,2582.56,0.28152892232902793
2017-11-15 10:00:00,2567.8,2576.042857142857,2577.3714285714286,2582.005,0.2815610364461698
2017-11-15 14:00:00,2569.4,2575.2999999999997,2576.5714285714284,2581.455,0.28162885408462385
2017-11-15 18:00:00,2565.0,2574.7999999999997,2576.190476190476,2580.745,0.2816008247246694
2017-11-15 22:00:00,2569.0,2573.7999999999997,2575.752380952381,2580.195,0.28171166186745816
2017-11-16 02:00:00,2571.6,2573.085714285714,2575.4666666666667,2579.7200000000003,0.2818088653710519
2017-11-16 06:00:00,2575.2,2572.557142857143,2575.2571428571428,2579.465,0.2820403705088152
2017-11-16 10:00:00,2573.8,2572.2,2574.7619047619046,2579.135,0.2822416286292706
